reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
K-0021,Death Valley National Park,36.8114,-116.906,DM16nt,"US-CA,US-NV",76,66,2133,0,0
K-0022,Denali National Park,63.7364,-148.896,BP53nr,US-AK,16,10,191,0,0
K-0023,Dry Tortugas National Park,24.6298,-82.8716,EL84np,US-FL,6,6,2009,0,0
K-0024,Everglades National Park,25.2885,-80.8734,EL95ng,US-FL,77,73,3027,0,0
K-0025,Fort Morgan National Historic Site,30.2296,-88.0174,EM50xf,US-AL,39,38,1063,0,0
K-0026,Gates of the Arctic National Park,68.1358,-151.764,BP48cd,US-AK,0,0,0,0,0
K-0027,Gettysburg National Military Park,39.8107,-77.2245,FM19jt,US-PA,161,152,5054,0,0
K-0028,Glacier National Park,48.773,-113.725,DN38ds,US-MT,54,46,1380,0,0
K-0029,Glacier Bay National Preserve,58.4529,-135.888,CO28bk,US-AK,0,0,0,0,0
K-0030,Grand Canyon National Park,36.1044,-112.003,DM36xc,US-AZ,129,105,3949,0,0
K-0031,Grand Teton National Park,43.7935,-110.632,DN43qt,US-WY,102,87,4604,0,0
K-0032,Great Basin National Park,39.0056,-114.219,DM29va,US-NV,26,22,704,0,0
K-0033,Great Sand Dunes National Park,37.7942,-105.581,DM77ft,US-CO,26,25,1188,0,0
K-0034,Great Smoky Mountains National Park,35.6154,-83.4462,EM85go,"US-NC,US-TN",437,401,14395,0,1
K-0035,Guadalupe Mountains National Park,31.9475,-104.861,DM71nw,US-TX,31,27,1032,0,0
K-0036,Haleakala National Park,20.6618,-156.045,BL10xp,US-HI,9,5,93,0,0
K-0037,Hawai'i Volcanoes National Park,19.4309,-155.257,BK29ik,US-HI,8,5,347,0,0
K-0038,Hot Springs National Park,34.522,-93.0363,EM34lm,US-AR,68,60,1930,0,0
K-0039,Isle Royale National Park,47.9988,-88.8659,EN57nx,US-MI,15,13,683,0,0
K-0040,Jean Lafitte National Historical Park,29.8116,-90.1413,EL49wt,US-LA,24,23,2615,0,0
K-0041,Joshua Tree National Park,33.7548,-115.824,DM23cs,US-CA,82,67,2586,0,0
K-0042,Fort Gains National Historic Site,30.2483,-88.0756,EM50xf,US-AL,18,18,377,0,0
K-0043,Kalaupapa National Historical Park,21.1879,-156.98,BL11me,US-HI,7,6,439,0,0
K-0044,Katmai National Park,58.5572,-155.778,BO28cn,US-AK,0,0,0,0,0
K-0045,Kenai Fjords National Park,60.1829,-149.687,BP50de,US-AK,12,8,209,0,0
K-0046,Kings Canyon National Park,36.7899,-118.67,DM06ps,US-CA,50,43,1206,0,0
K-0047,Kobuk Valley National Park,67.0807,-159.791,BP07cb,US-AK,0,0,0,0,0
K-0048,Lake Clark National Park,60.6626,-154.049,BP20xp,US-AK,0,0,0,0,0
K-0049,Lassen Volcanic National Park,40.4352,-121.534,CN90fk,US-CA,33,24,688,0,0
K-0050,Mammoth Cave National Park,37.1877,-86.0943,EM67we,US-KY,101,87,3807,0,0
K-0051,Mesa Verde National Park,37.1839,-108.491,DM57se,US-CO,59,39,1754,0,0
K-0052,Mount Rainier National Park,46.8826,-121.705,CN96dv,US-WA,57,37,1065,0,0
K-0053,American Samoa National Park,-14.259,-170.681,AH45pr,US-KH8,0,0,0,0,0
K-0054,Nez Perce National Historical Park,46.447,-116.824,DN16ok,"US-ID,US-MT,US-OR,US-WA",12,10,373,0,0
K-0055,North Cascades National Park,48.7758,-121.256,CN98is,US-WA,5,4,68,0,0
K-0056,Olympic National Park,48.0468,-123.418,CN88gb,US-WA,48,38,1130,0,0
K-0057,Petrified Forest National Park,35.0659,-109.779,DM55cb,US-AZ,38,33,1514,0,0
K-0058,Redwood National Park,41.7978,-124.083,CN71xt,US-CA,33,23,1168,0,0
K-0059,Rocky Mountain National Park,40.3535,-105.649,DN70ei,US-CO,82,74,2980,0,0
K-0060,Saguaro National Park,32.3048,-111.131,DM42kh,US-AZ,72,71,3955,0,0
K-0061,San Juan Island National Historical Park,48.4663,-123.017,CN88ll,US-WA,8,6,161,0,0
K-0062,Saratoga National Historical Park,43.0123,-73.6478,FN33ea,US-NY,25,22,803,0,0
K-0063,Sequoia National Park,36.6036,-118.732,DM06po,US-CA,126,43,1664,0,0
K-0064,Shenandoah National Park,38.9068,-78.1988,FM08vv,US-VA,320,288,10199,0,1
K-0065,Theodore Roosevelt National Park,46.9166,-103.528,DN86fv,US-ND,33,30,847,0,0
K-0066,Virgin Islands National Park,18.3329,-64.7937,FK78oh,VI-SJ,10,7,355,0,0
K-0067,Voyageurs National Park,48.4443,-93.0303,EN38lk,US-MN,98,87,2971,0,0
K-0068,Wind Cave National Park,43.6062,-103.432,DN83go,US-SD,30,29,1131,0,0
K-0069,Wrangell-St. Elias National Park,61.5124,-142.835,BP81nm,US-AK,11,7,269,0,0
K-0070,Yellowstone National Park,44.4281,-110.587,DN44qk,"US-ID,US-MT,US-WY",77,65,2220,0,0
K-0071,Yosemite National Park,37.7477,-119.585,DM07er,US-CA,59,45,1128,0,0
K-0072,Zion National Park,37.3021,-113.006,DM37lh,US-UT,64,42,1402,0,0
K-0103,El Yunque National Forest,18.3011,-65.7853,FK78ch,US-KP4,59,58,3248,0,0
K-0104,Bosque Estatal Toro Negro State Forest,18.1579,-66.5634,FK68rd,US-KP4,10,10,718,0,0
K-0106,Río Camuy Cave State Park,18.3458,-66.8225,FK68oi,US-KP4,4,4,852,0,0
K-0108,Isla De Mona E Islote Monito State Natural Reserve,18.0833,-67.8895,FK68bb,US-KP4,0,0,0,0,0
K-0110,Guam National Wildlife Refuge,13.6535,144.862,QK23kp,US-KH2,2,2,115,0,0
K-0111,Baker Island National Wildlife Refuge,0.19432,-176.479,AJ10se,US-KH1,0,0,0,0,0
K-0112,Johnston Island National Wildlife Refuge,16.732,-169.533,AK56fr,US-KH3,0,0,0,0,0
K-0113,Kingman Reef National Wildlife Refuge,6.3824,-162.372,AJ86tj,US-KH5K,0,0,0,0,0
K-0114,Midway Atoll National Wildlife Refuge,28.2072,-177.382,AL18he,US-KH4,0,0,0,0,0
K-0115,Jarvis Island National Wildlife Refuge,-0.373708,-159.998,BI09ap,US-KH5,0,0,0,0,0
K-0116,Palmyra Atoll National Wildlife Refuge,5.8807,-162.081,AJ85xv,US-KH5,0,0,0,0,0
K-0117,Hakalau Forest National Wildlife Refuge,19.793,-155.321,BK29it,US-HI,0,0,0,0,0
K-0118,Hanalei National Wildlife Refuge,22.2012,-159.468,BL02ge,US-HI,2,1,13,0,0
K-0119,Hawaiian Islands National Wildlife Refuge,28.2247,-177.355,AL18hf,US-HI,2,1,25,0,0
K-0120,Ginkgo Petrified Forest State Park,46.9008,-119.989,DN06av,US-WA,26,22,493,0,0
K-0121,Kure Atoll State Wildlife Area,28.4168,-178.332,AL08uk,US-KH7K,0,0,0,0,0
K-0122,Howland Island National Wildlife Refuge,0.807606,-176.617,AJ10qt,US-KH1,0,0,0,0,0
K-0123,Huleia National Wildlife Refuge,21.9464,-159.384,BL01hw,US-HI,0,0,0,0,0
K-0124,James Campbell National Wildlife Refuge,21.6882,-157.952,BL11aq,US-HI,1,1,13,0,0
K-0125,Kakahaia National Wildlife Refuge,21.0642,-156.941,BL11mb,US-HI,0,0,0,0,0
K-0126,Kealia Pond National Wildlife Refuge,20.7922,-156.468,BL10st,US-HI,1,1,13,0,0
K-0127,Kilauea Point National Wildlife Refuge,22.2317,-159.402,BL02hf,US-HI,0,0,0,0,0
K-0128,O'ahu Forest National Wildlife Refuge,21.479,-157.923,BL11al,US-HI,0,0,0,0,0
K-0129,Pearl Harbor National Wildlife Refuge,21.3011,-158.087,BL01wh,US-HI,1,1,16,0,0
K-0130,Rose Atoll National Wildlife Refuge,-14.5446,-168.155,AH55wk,US-KH8,0,0,0,0,0
K-0131,Navassa Island National Wildlife Refuge,18.408,-75.0124,FK28lj,US-KP1,0,0,0,0,0
K-0132,Cabo Rojo National Wildlife Refuge,17.9807,-67.1674,FK67jx,US-KP4,14,13,1139,0,1
K-0134,Laguna Cartagena National Wildlife Refuge,18.011,-67.1029,FK68ka,US-KP4,7,6,262,0,0
K-0135,Vieques National Wildlife Refuge,18.1216,-65.4368,FK78gc,US-KP4,4,4,168,0,0
K-0136,Bon Secour National Wildlife Refuge,30.2415,-87.8249,EM60cf,US-AL,27,25,754,0,0
K-0137,Cahaba River National Wildlife Refuge,33.0614,-87.0678,EM63lb,US-AL,9,9,476,0,0
K-0138,Choctaw National Wildlife Refuge,31.8151,-88.1922,EM51vt,US-AL,4,4,87,0,0
K-0139,Eufaula National Wildlife Refuge,31.9959,-85.0948,EM71kx,US-AL,31,30,1146,0,0
K-0140,Fern Cave National Wildlife Refuge,34.6737,-86.3134,EM64uq,US-AL,8,8,334,0,0
K-0141,Key Cave National Wildlife Refuge,34.7569,-87.7881,EM64cs,US-AL,47,47,2041,0,0
K-0142,Arctic National Wildlife Refuge,68.445,-149.326,BP58ik,US-AK,0,0,0,0,0
K-0143,Alaska Maritime National Wildlife Refuge,51.8677,-176.667,AO11pu,US-AK,21,16,20513,0,0
K-0144,Alaska Peninsula National Wildlife Refuge,55.025,-162.23,AO85va,US-AK,4,4,103,0,0
K-0145,Becharof National Wildlife Refuge,58.0988,-156.611,BO18qc,US-AK,0,0,0,0,0
K-0146,Innoko National Wildlife Refuge,63.5427,-158.203,BP03vn,US-AK,0,0,0,0,0
K-0147,Izembek National Wildlife Refuge,55.2927,-162.672,AO85ph,US-AK,3,2,80,0,0
K-0148,Kanuti National Wildlife Refuge,66.8835,-151.494,BP46gv,US-AK,0,0,0,0,0
K-0149,Kenai National Wildlife Refuge,60.5179,-150.555,BP40rm,US-AK,5,3,63,0,0
K-0150,Kodiak National Wildlife Refuge,57.7412,-152.52,BO37rr,US-AK,0,0,0,0,0
K-0151,Koyukuk National Wildlife Refuge,65.693,-156.388,BP15tq,US-AK,0,0,0,0,0
K-0152,Nowitna National Wildlife Refuge,64.6535,-153.932,BP34ap,US-AK,0,0,0,0,0
K-0153,Selawik National Wildlife Refuge,66.6633,-159.066,BP06lp,US-AK,0,0,0,0,0
K-0154,Tetlin National Wildlife Refuge,62.6854,-141.126,BP92kq,US-AK,1,1,18,0,0
K-0155,Togiak National Wildlife Refuge,59.0518,-158.579,BO09rb,US-AK,0,0,0,0,0
K-0156,Yukon Delta National Wildlife Refuge,61.935,-162.899,AP81nw,US-AK,2,0,14,0,0
K-0157,Yukon Flats National Wildlife Refuge,66.0144,-149.06,BP56la,US-AK,0,0,0,0,0
K-0158,Mountain Longleaf National Wildlife Refuge,33.7119,-85.7381,EM73dr,US-AL,18,18,661,0,0
K-0159,Sauta Cave National Wildlife Refuge,34.6121,-86.1354,EM64wo,US-AL,18,17,308,0,0
K-0160,Watercress Darter National Wildlife Refuge,33.3751,-86.9649,EM63mj,US-AL,9,9,208,0,0
K-0161,Wheeler National Wildlife Refuge,34.5572,-86.9531,EM64mn,US-AL,113,112,5824,0,1
K-0162,Bald Knob National Wildlife Refuge,35.2377,-91.5715,EM45ff,US-AR,11,11,382,0,0
K-0163,Big Lake National Wildlife Refuge,35.9135,-90.1198,EM45wv,US-AR,14,12,395,0,0
K-0164,Cache River National Wildlife Refuge,35.0606,-91.319,EM45ib,US-AR,14,14,458,0,0
K-0165,Felsenthal National Wildlife Refuge,33.1494,-92.0626,EM33xd,US-AR,20,17,498,0,0
K-0166,Holla Bend National Wildlife Refuge,35.1432,-93.0698,EM35ld,US-AR,16,13,363,0,0
K-0167,Logan Cave National Wildlife Refuge,36.1976,-94.396,EM26te,US-AR,3,3,181,0,0
K-0168,Overflow National Wildlife Refuge,33.0791,-91.6685,EM43db,US-AR,5,4,69,0,0
K-0169,Pond Creek National Wildlife Refuge,33.8004,-94.1477,EM23wt,US-AR,11,11,315,0,0
K-0170,Wapanocca National Wildlife Refuge,35.3437,-90.2149,EM45vi,US-AR,12,12,307,0,0
K-0171,White River National Wildlife Refuge,34.3575,-91.1211,EM44ki,US-AR,7,7,217,0,0
K-0172,Bill Williams River National Wildlife Refuge,34.2727,-114.048,DM24xg,US-AZ,12,11,308,0,0
K-0173,Buenos Aires National Wildlife Refuge,31.5718,-111.508,DM41fn,US-AZ,26,26,2727,0,0
K-0174,Cabeza Prieta National Wildlife Refuge,32.1864,-113.289,DM32ie,US-AZ,10,10,765,0,0
K-0175,Cibola National Wildlife Refuge,33.3635,-114.672,DM23pi,"US-AZ,US-CA",15,11,539,0,0
K-0176,Imperial National Wildlife Refuge,33.1498,-114.681,DM23pd,US-AZ,5,5,351,0,0
K-0177,Kofa National Wildlife Refuge,32.6783,-114.476,DM22sq,US-AZ,47,33,1646,0,0
K-0178,Leslie Canyon National Wildlife Refuge,31.5791,-109.504,DM51fn,US-AZ,9,9,333,0,0
K-0179,San Bernardino National Wildlife Refuge,31.3415,-109.251,DM51ii,US-AZ,3,3,138,0,0
K-0180,Twin Lights State Historic Site,40.3962,-73.986,FN30aj,US-NJ,31,29,713,1,0
K-0181,Bitter Creek National Wildlife Refuge,34.9589,-119.443,DM04gx,US-CA,4,4,93,0,0
K-0183,Penrose Commons National Recreation Area,38.4778,-105.034,DM78ll,US-CO,13,13,494,0,0
K-0184,Ramah State Wildlife Area,39.0849,-104.2,DM79vc,US-CO,21,20,1343,0,0
K-0185,Hugo State Wildlife Area,38.8938,-103.378,DM88hv,US-CO,6,6,260,0,0
K-0187,Colusa National Wildlife Refuge,39.1966,-122.039,CM89xe,US-CA,7,5,131,0,0
K-0188,Kinney Lake State Wildlife Area,38.9648,-103.443,DM88gx,US-CO,7,7,230,0,0
K-0189,Don Edwards San Francisco Bay National Wildlife Refuge,37.5299,-122.064,CM87xm,US-CA,219,207,9378,0,0
K-0190,Flagler Reservoir State Wildlife Area,39.278,-102.982,DM89mg,US-CO,14,10,518,0,0
K-0191,Brush Hollow State Wildlife Area,38.4419,-105.014,DM78lk,US-CO,26,26,1081,0,0
K-0192,Beaver Creek State Wildlife Area,38.5376,-105.023,DM78lm,US-CO,8,8,276,0,0
K-0193,Guadalupe-Nipomo Dunes National Wildlife Refuge,34.9725,-120.572,CM94rx,US-CA,4,4,61,0,0
K-0194,Havasu National Wildlife Refuge,34.6668,-114.441,DM24sq,US-AZ,15,14,343,0,0
K-0195,Ogden-Treat State Wildlife Area,38.3999,-105.767,DM78cj,US-CO,4,4,246,0,0
K-0196,Humboldt Bay National Wildlife Refuge,40.7195,-124.218,CN70vr,US-CA,3,3,49,0,0
K-0197,Kern National Wild and Scenic River,35.7962,-118.45,DM05st,US-CA,3,3,161,0,0
K-0198,Kesterson National Wildlife Refuge,37.1519,-120.819,CM97od,US-CA,4,4,126,0,0
K-0199,Lower Klamath National Wildlife Refuge,41.9486,-121.711,CN91dw,"US-CA,US-OR",7,6,179,0,0
K-0200,Sarah Helmick State Recreation Area,44.7818,-123.237,CN84js,US-OR,47,37,1010,0,0
K-0201,Merced National Wild and Scenic River,37.605,-119.967,DM07ao,US-CA,4,2,58,0,0
K-0202,Modoc National Wildlife Refuge,41.4717,-120.546,CN91rl,US-CA,0,0,0,0,0
K-0203,North Central Valley Wildlife Management Area,39.4287,-122.192,CM89vk,US-CA,2,2,65,0,0
K-0204,Pixley National Wildlife Refuge,35.906,-119.376,DM05hv,US-CA,21,20,491,0,0
K-0205,Sacramento National Wildlife Refuge,39.4287,-122.192,CM89vk,US-CA,1,1,52,0,0
K-0206,Sacramento River National Wildlife Refuge,39.4287,-122.192,CM89vk,US-CA,14,12,281,0,0
K-0207,Salinas River National Wildlife Refuge,36.7346,-121.794,CM96cr,US-CA,5,5,157,0,0
K-0208,San Diego National Wildlife Refuge,32.6843,-116.846,DM12nq,US-CA,3,3,144,0,0
K-0209,San Diego Bay National Wildlife Refuge,32.6412,-117.11,DM12kp,US-CA,8,6,106,0,0
K-0210,San Joaquin River National Wildlife Refuge,37.6126,-121.221,CM97jo,US-CA,25,25,1344,0,0
K-0211,San Luis National Wildlife Refuge,37.1519,-120.819,CM97od,US-CA,21,20,753,0,0
K-0212,San Pablo Bay National Wildlife Refuge,38.1407,-122.465,CM88sd,US-CA,7,7,167,0,0
K-0213,Maud Williamson State Recreation Area,45.0959,-123.069,CN85lc,US-OR,51,47,1319,0,0
K-0214,Sonny Bono Salton Sea National Wildlife Refuge,33.1775,-115.615,DM23ee,US-CA,29,27,797,0,0
K-0215,Stone Lakes National Wildlife Refuge,38.371,-121.495,CM98gi,US-CA,16,14,598,0,0
K-0217,Tijuana Slough National Wildlife Refuge,32.5756,-117.127,DM12kn,US-CA,10,9,173,0,0
K-0218,Tule Lake National Monument,41.9468,-121.565,CN91fw,US-CA,4,4,249,0,0
K-0219,H.B. VanDuzer Scenic Corridor State Forest,45.0387,-123.809,CN85ca,US-OR,6,4,60,0,0
K-0220,Alamosa National Wildlife Refuge,37.4294,-105.77,DM77ck,US-CO,11,11,526,0,0
K-0221,Arapaho National Wildlife Refuge,40.6177,-106.276,DN60uo,US-CO,9,9,485,0,0
K-0222,Baca National Wildlife Refuge,37.8615,-105.775,DM77cu,US-CO,8,8,163,0,0
K-0223,Browns Park National Wildlife Refuge,40.8128,-108.956,DN50mt,US-CO,3,3,157,0,0
K-0224,Monte Vista National Wildlife Refuge,37.4881,-106.098,DM67wl,US-CO,15,14,400,0,0
K-0225,Rocky Flats National Wildlife Refuge,39.8773,-105.19,DM79jv,US-CO,87,85,6796,0,0
K-0226,Rocky Mountain Arsenal National Wildlife Refuge,39.8367,-104.837,DM79nu,US-CO,136,124,6079,0,0
K-0227,Two Ponds National Wildlife Refuge,39.8389,-105.106,DM79ku,US-CO,131,122,7908,0,0
K-0228,Stewart B. Mckinney National Wildlife Refuge,41.2861,-72.4716,FN31sg,US-CT,34,32,1628,0,0
K-0229,Bombay Hook National Wildlife Refuge,39.2531,-75.4514,FM29gg,US-DE,45,44,1989,0,0
K-0230,Prime Hook National Wildlife Refuge,38.861,-75.2651,FM28iu,US-DE,28,28,1151,0,0
K-0231,Archie Carr National Wildlife Refuge,27.8759,-80.456,EL97sv,US-FL,80,78,3687,0,0
K-0232,Arthur R. Marshall Loxahatchee National Wildlife Refuge,26.4992,-80.2117,EL96vl,US-FL,85,80,2959,0,0
K-0233,Caloosahatchee National Wildlife Refuge,26.6984,-81.7956,EL96cq,US-FL,7,7,348,0,0
K-0234,Cedar Keys National Wildlife Refuge,29.126,-83.0319,EL89ld,US-FL,2,2,38,0,0
K-0235,Chassahowitzka National Wildlife Refuge,28.7725,-82.6269,EL88qs,US-FL,21,21,801,0,0
K-0236,Crocodile Lake National Wildlife Refuge,25.1917,-80.3566,EL95te,US-FL,16,16,488,0,0
K-0237,Crystal River National Wildlife Refuge,28.8893,-82.5892,EL88qv,US-FL,14,14,231,0,0
K-0238,Egmont Key National Wildlife Refuge,27.5969,-82.7597,EL87oo,US-FL,10,10,470,0,0
K-0239,Florida Panther National Wildlife Refuge,26.1859,-81.4054,EL96he,US-FL,38,37,1107,0,0
K-0240,Great White Heron National Wildlife Refuge,24.5984,-81.5836,EL94eo,US-FL,5,5,178,0,0
K-0241,Hobe Sound National Wildlife Refuge,27.0369,-80.1119,EL97wa,US-FL,34,32,1134,0,0
K-0242,Island Bay National Wildlife Refuge,26.7743,-82.1803,EL86vs,US-FL,2,2,57,0,0
K-0243,J.N. Ding Darling National Wildlife Refuge,26.4451,-82.113,EL86wk,US-FL,40,39,1357,0,0
K-0244,Key West National Wildlife Refuge,24.5716,-81.9749,EL94an,US-FL,3,3,138,0,0
K-0245,Lake Wales Ridge Wildlife Management Area,27.5312,-81.4056,EL97hm,US-FL,24,24,1136,0,0
K-0246,Lake Woodruff National Wildlife Refuge,29.1068,-81.371,EL99hc,US-FL,18,18,624,0,0
K-0247,Lower Suwannee National Wildlife Refuge,29.374,-83.0377,EL89li,US-FL,10,10,237,0,0
K-0248,Matlacha Pass National Wildlife Refuge,26.4822,-81.9825,EL96al,US-FL,6,6,274,0,0
K-0249,Merritt Island National Wildlife Refuge,28.642,-80.7361,EL98pp,US-FL,65,62,3271,0,0
K-0250,National Key Deer National Wildlife Refuge,24.7324,-81.3928,EL94hr,US-FL,20,17,673,0,0
K-0251,Passage Key National Wildlife Refuge,27.5555,-82.7426,EL87pn,US-FL,3,3,103,0,0
K-0252,Pelican Island National Wildlife Refuge,27.8106,-80.4253,EL97st,US-FL,42,42,1733,0,0
K-0253,Pine Island National Wildlife Refuge,26.6788,-82.2001,EL86vq,US-FL,2,2,33,0,0
K-0254,Pinellas National Wildlife Refuge,27.6657,-82.6862,EL87pp,US-FL,3,3,60,0,0
K-0255,St. Johns National Wildlife Refuge,28.5509,-80.8888,EL98nn,US-FL,27,26,923,0,1
K-0256,St. Marks National Wildlife Refuge,30.1515,-84.1472,EM70wd,US-FL,29,29,1089,0,0
K-0257,St. Vincent National Wildlife Refuge,29.6592,-85.1318,EL79kp,US-FL,18,17,696,0,0
K-0258,Ten Thousand Islands National Wildlife Refuge,25.9742,-81.5544,EL95fx,US-FL,148,147,5675,0,0
K-0259,Banks Lake National Wildlife Refuge,31.0351,-83.0956,EM81ka,US-GA,8,7,303,0,0
K-0260,Blackbeard Island National Wildlife Refuge,31.5187,-81.1962,EM91jm,US-GA,1,1,53,0,0
K-0261,Bond Swamp National Wildlife Refuge,32.7394,-83.5628,EM82fr,US-GA,13,13,332,0,0
K-0262,Harris Neck National Wildlife Refuge,31.6312,-81.2678,EM91ip,US-GA,58,56,2785,0,1
K-0263,Okefenokee National Wildlife Refuge,30.7383,-82.14,EM80wr,US-GA,18,18,525,0,0
K-0264,Piedmont National Wildlife Refuge,33.0987,-83.7126,EM83dc,US-GA,21,21,668,0,0
K-0265,Pinckney Island National Wildlife Refuge,32.2298,-80.7848,EM92of,US-SC,106,103,4470,0,0
K-0266,Wassaw National Wildlife Refuge,31.8945,-80.9922,EM91mv,US-GA,3,3,98,0,0
K-0267,Wolf Island National Wildlife Refuge,31.3501,-81.301,EM91ii,US-GA,1,1,39,0,0
K-0268,Desoto National Wildlife Refuge,41.5484,-96.0273,EN11xn,US-IA,7,7,189,0,0
K-0269,Driftless Area National Wildlife Refuge,42.8394,-91.3722,EN42hu,US-IA,11,10,412,0,0
K-0270,Iowa Wetland Management District,43.2986,-94.1184,EN23wh,US-IA,4,4,137,0,0
K-0271,Neal Smith National Wildlife Refuge,41.5585,-93.2801,EN31in,US-IA,21,21,480,0,0
K-0272,Port Louisa National Wildlife Refuge,41.2201,-91.1204,EN41kf,"US-IA,US-IL",8,8,199,0,0
K-0273,Union Slough National Wildlife Refuge,43.2838,-94.1103,EN23wg,US-IA,4,4,105,0,0
K-0274,Bear Lake National Wildlife Refuge,42.174,-111.32,DN42ie,US-ID,9,8,233,0,0
K-0275,Camas National Wildlife Refuge,43.9418,-112.266,DN33uw,US-ID,4,4,81,0,0
K-0276,Deer Flat National Wildlife Refuge,43.5609,-116.666,DN13qn,US-ID,125,117,5130,0,0
K-0277,Grays Lake National Wildlife Refuge,43.0502,-111.437,DN43gb,US-ID,1,1,12,0,0
K-0278,Kootenai National Wildlife Refuge,48.7163,-116.405,DN18tr,US-ID,5,5,86,0,0
K-0279,Minidoka National Wildlife Refuge,42.6679,-113.387,DN32hq,US-ID,20,19,756,0,0
K-0280,Oxford Slough Wetland Management District,42.2358,-111.993,DN42af,US-ID,3,3,127,0,0
K-0281,Chautauqua National Wildlife Refuge,40.3853,-89.9761,EN50aj,US-IL,42,41,1383,0,0
K-0282,Crab Orchard National Wildlife Refuge,37.7198,-89.0208,EM57lr,US-IL,40,38,1007,0,0
K-0283,Cypress Creek National Wildlife Refuge,37.2801,-89.0953,EM57kg,US-IL,18,10,466,0,0
K-0284,Emiquon National Wildlife Refuge,40.3242,-90.0975,EN40wh,US-IL,22,20,1294,0,0
K-0285,Meredosia National Wildlife Refuge,39.8719,-90.5678,EM49ru,US-IL,78,72,4453,0,0
K-0286,Middle Mississippi River National Wildlife Refuge,37.8531,-89.7263,EM57du,US-IL,6,6,138,0,0
K-0287,Two Rivers National Wildlife Refuge,38.9374,-90.5422,EM48rw,US-IL,11,11,323,0,0
K-0288,Big Oaks National Wildlife Refuge,38.9605,-85.4165,EM78hx,US-IN,11,10,292,0,0
K-0289,Muscatatuck National Wildlife Refuge,38.9284,-85.812,EM78cw,US-IN,32,32,944,0,0
K-0290,Patoka River National Wildlife Refuge,38.3394,-87.1268,EM68ki,US-IN,18,18,364,0,0
K-0291,Flint Hills National Wildlife Refuge,38.3123,-95.9642,EM28ah,US-KS,10,10,378,0,0
K-0292,Kirwin National Wildlife Refuge,39.6657,-99.1743,EM09jp,US-KS,2,2,58,0,0
K-0293,Marais Des Cygnes National Wildlife Refuge,38.2567,-94.6568,EM28qg,US-KS,30,30,996,0,0
K-0294,Quivira National Wildlife Refuge,38.0748,-98.489,EM08sb,US-KS,7,6,317,0,0
K-0295,Clarks River National Wildlife Refuge,36.8799,-88.3454,EM56tv,US-KY,14,14,580,0,0
K-0296,Atchafalaya National Wildlife Refuge,30.4833,-91.7333,EM40dl,US-LA,4,4,238,0,0
K-0297,Bayou Cocodrie National Wildlife Refuge,31.5747,-91.6004,EM41en,US-LA,4,4,74,0,0
K-0298,Bayou Sauvage National Wildlife Refuge,30.0914,-89.8668,EM50bc,US-LA,12,12,376,0,0
K-0299,Bayou Teche National Wildlife Refuge,29.7853,-91.4637,EL49gs,US-LA,3,3,108,0,0
K-0300,Big Branch Marsh National Wildlife Refuge,30.323,-89.9366,EM50ah,US-LA,155,153,7461,0,0
K-0301,Black Bayou Lake National Wildlife Refuge,32.6052,-92.0507,EM32xo,US-LA,81,65,2247,0,0
K-0302,Bogue Chitto National Wildlife Refuge,30.4559,-89.7802,EM50ck,US-LA,39,36,1893,0,0
